2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-27/20:24:59		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-27/20:25:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-27/20:25:01		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-27/20:25:02		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-27/20:25:03		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-27/20:25:04		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-27/20:25:06		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-27/20:25:08		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-27/20:25:09		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-29/09:53:18		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-29/09:53:19		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-29/09:53:20		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-29/09:53:20		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-29/09:53:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-29/09:53:22		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-29/09:53:24		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-29/09:53:25		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-29/09:53:25		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-29/09:54:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-29/09:54:43		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-29/09:54:44		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-29/09:54:44		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-29/09:54:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-29/09:54:45		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-29/09:54:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-29/09:54:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-29/09:54:47		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-29/09:55:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-29/09:55:43		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-29/09:55:44		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-29/09:55:44		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-29/09:55:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-29/09:55:45		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-29/09:55:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-29/09:55:47		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-29/09:55:47		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-29/11:24:17		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-29/11:24:18		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-29/11:24:19		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-29/11:24:19		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-29/11:24:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-29/11:24:21		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-29/11:24:22		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-29/11:24:23		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-29/11:24:24		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-29/13:39:15		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-29/13:39:16		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-29/13:39:17		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-29/13:39:17		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-29/13:39:18		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-29/13:39:19		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-29/13:39:20		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-29/13:39:21		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-29/13:39:21		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-30/12:28:40		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-30/12:28:41		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-30/12:28:42		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-30/12:28:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-30/12:28:43		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-30/12:28:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-30/12:28:45		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-30/12:28:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-30/12:28:47		 wafer_29012020_050617.csv: File Transformed successfully!!
