,columns,missing values count
0,Sensor - 1,12
1,Sensor - 2,36
2,Sensor - 3,156
3,Sensor - 4,156
4,Sensor - 5,156
5,Sensor - 6,156
6,Sensor - 7,156
7,Sensor - 8,96
8,Sensor - 9,24
9,Sensor - 10,24
10,Sensor - 11,24
11,Sensor - 12,24
12,Sensor - 13,24
13,Sensor - 14,36
14,Sensor - 15,36
15,Sensor - 16,36
16,Sensor - 17,36
17,Sensor - 18,36
18,Sensor - 19,36
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,12
22,Sensor - 23,12
23,Sensor - 24,12
24,Sensor - 25,12
25,Sensor - 26,12
26,Sensor - 27,12
27,Sensor - 28,12
28,Sensor - 29,12
29,Sensor - 30,12
30,Sensor - 31,12
31,Sensor - 32,12
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,168
41,Sensor - 42,168
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,12
54,Sensor - 55,12
55,Sensor - 56,12
56,Sensor - 57,12
57,Sensor - 58,12
58,Sensor - 59,12
59,Sensor - 60,60
60,Sensor - 61,60
61,Sensor - 62,60
62,Sensor - 63,60
63,Sensor - 64,60
64,Sensor - 65,60
65,Sensor - 66,60
66,Sensor - 67,60
67,Sensor - 68,60
68,Sensor - 69,60
69,Sensor - 70,60
70,Sensor - 71,60
71,Sensor - 72,60
72,Sensor - 73,6360
73,Sensor - 74,6360
74,Sensor - 75,60
75,Sensor - 76,288
76,Sensor - 77,288
77,Sensor - 78,288
78,Sensor - 79,288
79,Sensor - 80,288
80,Sensor - 81,288
81,Sensor - 82,288
82,Sensor - 83,288
83,Sensor - 84,12
84,Sensor - 85,24
85,Sensor - 86,7332
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,612
90,Sensor - 91,612
91,Sensor - 92,60
92,Sensor - 93,24
93,Sensor - 94,24
94,Sensor - 95,60
95,Sensor - 96,60
96,Sensor - 97,60
97,Sensor - 98,60
98,Sensor - 99,60
99,Sensor - 100,60
100,Sensor - 101,60
101,Sensor - 102,60
102,Sensor - 103,60
103,Sensor - 104,24
104,Sensor - 105,24
105,Sensor - 106,60
106,Sensor - 107,60
107,Sensor - 108,60
108,Sensor - 109,60
109,Sensor - 110,3456
110,Sensor - 111,3456
111,Sensor - 112,3456
112,Sensor - 113,6684
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,288
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,36
122,Sensor - 123,36
123,Sensor - 124,36
124,Sensor - 125,36
125,Sensor - 126,36
126,Sensor - 127,36
127,Sensor - 128,36
128,Sensor - 129,36
129,Sensor - 130,36
130,Sensor - 131,36
131,Sensor - 132,36
132,Sensor - 133,36
133,Sensor - 134,36
134,Sensor - 135,36
135,Sensor - 136,0
136,Sensor - 137,12
137,Sensor - 138,36
138,Sensor - 139,156
139,Sensor - 140,156
140,Sensor - 141,156
141,Sensor - 142,156
142,Sensor - 143,156
143,Sensor - 144,96
144,Sensor - 145,24
145,Sensor - 146,24
146,Sensor - 147,24
147,Sensor - 148,24
148,Sensor - 149,24
149,Sensor - 150,36
150,Sensor - 151,36
151,Sensor - 152,36
152,Sensor - 153,36
153,Sensor - 154,36
154,Sensor - 155,36
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,9252
158,Sensor - 159,9252
159,Sensor - 160,12
160,Sensor - 161,12
161,Sensor - 162,12
162,Sensor - 163,12
163,Sensor - 164,12
164,Sensor - 165,12
165,Sensor - 166,12
166,Sensor - 167,12
167,Sensor - 168,12
168,Sensor - 169,12
169,Sensor - 170,12
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,168
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,12
191,Sensor - 192,12
192,Sensor - 193,12
193,Sensor - 194,12
194,Sensor - 195,12
195,Sensor - 196,12
196,Sensor - 197,60
197,Sensor - 198,60
198,Sensor - 199,60
199,Sensor - 200,60
200,Sensor - 201,60
201,Sensor - 202,60
202,Sensor - 203,60
203,Sensor - 204,60
204,Sensor - 205,60
205,Sensor - 206,60
206,Sensor - 207,60
207,Sensor - 208,60
208,Sensor - 209,60
209,Sensor - 210,60
210,Sensor - 211,288
211,Sensor - 212,288
212,Sensor - 213,288
213,Sensor - 214,288
214,Sensor - 215,288
215,Sensor - 216,288
216,Sensor - 217,288
217,Sensor - 218,288
218,Sensor - 219,12
219,Sensor - 220,24
220,Sensor - 221,7332
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,612
225,Sensor - 226,612
226,Sensor - 227,60
227,Sensor - 228,24
228,Sensor - 229,24
229,Sensor - 230,60
230,Sensor - 231,60
231,Sensor - 232,60
232,Sensor - 233,60
233,Sensor - 234,60
234,Sensor - 235,60
235,Sensor - 236,60
236,Sensor - 237,60
237,Sensor - 238,60
238,Sensor - 239,24
239,Sensor - 240,24
240,Sensor - 241,60
241,Sensor - 242,60
242,Sensor - 243,60
243,Sensor - 244,60
244,Sensor - 245,3456
245,Sensor - 246,3456
246,Sensor - 247,3456
247,Sensor - 248,6684
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,288
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,36
257,Sensor - 258,36
258,Sensor - 259,36
259,Sensor - 260,36
260,Sensor - 261,36
261,Sensor - 262,36
262,Sensor - 263,36
263,Sensor - 264,36
264,Sensor - 265,36
265,Sensor - 266,36
266,Sensor - 267,36
267,Sensor - 268,36
268,Sensor - 269,36
269,Sensor - 270,36
270,Sensor - 271,0
271,Sensor - 272,12
272,Sensor - 273,36
273,Sensor - 274,156
274,Sensor - 275,156
275,Sensor - 276,156
276,Sensor - 277,156
277,Sensor - 278,156
278,Sensor - 279,96
279,Sensor - 280,24
280,Sensor - 281,24
281,Sensor - 282,24
